NOMBRE;LOCALIDAD;LATITUD;LONGITUD;ESTADO;NUM_CAMAS;TIENE_ACCESO_DISCAPACITADOS;TIENE_UCI
CONSULTORIO ZAHARA DE LOS ATUNES; BARBATE; 36.135051666002795; -5.843455923196172; BUENO; 0; true; false
CENTRO DE SALUD BARBATE; BARBATE; 36.189308321456515; -5.925475089376914; BUENO; 0; true; false
CENTRO DE SALUD (CASA DEL MAR) BARBATE; BARBATE; 36.18825555644049; -5.923467895802184; REGULAR; 0; true; false
CONSULTORIO JEDULA; ARCOS DE LA FRONTERA; 36.72460010332263; -5.931456684613025; BUENO; 0; true; false
CONSULTORIO EL POSITO; ARCOS DE LA FRONTERA; 36.75005534052628; -5.809773177487557; BUENO; 0; true; false
CENTRO DE SALUD ARCOS DE LA FRONTERA; ARCOS DE LA FRONTERA; 36.74272890984898; -5.797115491891108; BUENO; 0; true; false
CONSULTORIO AUXILIAR LA MUELA; ALGODONALES; 36.93028619636662; -5.411900126241025; BUENO; 0; true; false
CONSULTORIO ALGODONALES; ALGODONALES; 36.87946545201232; -5.402516807153386; BUENO; 0; true; false
CONSULTORIO ALCALA DE LOS GAZULES; ALCALA DE LOS GAZULES; 36.46076654484339; -5.722895815413334; BUENO; 0; true; false
CONSULTORIO ALGAR; ALGAR; 36.657635572267445; -5.656869439190807; BUENO; 0; true; false
CENTRO DE SALUD ALACALA DEL VALLE; ALCALA DEL VALLE; 36.903376479892216; -5.1720080896354865; BUENO; 0; true; false
CENTRO DE SALUD CASA DEL MAR; TARIFA; 36.01774586933002; -5.601186429531831; BUENO; 0; false; false
CONSULTORIO AUXILIAR GUADARRANQUE; SAN ROQUE; 36.18391017226953; -5.414960858977093; BUENO; 0; false; false
CENTRO DE SALUD CAMPAMENTO; SAN ROQUE; 36.17809045129006; -5.378933716676538; REGULAR; 0; true; false
CENTRO DE SALUD ROTA; ROTA; 36.624113279769716; -6.363444575002416; BUENO; 0; true; false
CENTRO DE SALUD CASINES; PUERTO REAL; 36.52501351950163; -6.175483330848608; BUENO; 0; true; false
CONSULTORIO RIO SAN PEDRO; PUERTO REAL; 36.522913160353085; -6.2241591551279924; BUENO; 0; false; false
HOSPITAL UNIVERSITARIO; PUERTO REAL; 36.52016726032299; -6.151330284937666; BUENO; 433; true; true
CONSULTORIO PRADO DEL REY; PRADO DEL REY; 36.79044414426221; -5.554934952989551; BUENO; 0; true; false
CENTRO DE SALUD OLVERA; OLVERA; 36.93412655717929; -5.255930738262001; BUENO; 2; true; false
